cds_data/data_100000_20_15_u_10_ppgeh.txt
copyDataFile complete
cds_query/query_100000_20_15_u_10_ppgeh.txt
copyQueryFile complete
make complete
98837 : 1.90641   : 0.670204  >> 0.670204
80751 : 1.89779   : 0.615212  >> 0.615212
1858 : 1.89144   : 0.635292  >> 0.635292
24301 : 1.87605   : 0.80472  >> 0.80472
92523 : 1.85787   : 0.821518  >> 0.821518
62948 : 1.84576   : 0.700145  >> 0.700145
__________________
52321 : 1.85672   : 0.722587  >> 0.722587
48879 : 1.85655   : 0.642417  >> 0.642417
98208 : 1.84898   : 0.732002  >> 0.732002
29843 : 1.845   : 0.735102  >> 0.735102
98837 : 1.8238   : 0.744354  >> 0.744354
80751 : 1.8212   : 0.751968  >> 0.751968
1858 : 1.8056   : 0.777335  >> 0.777335
24301 : 1.79187   : 0.864815  >> 0.864815
92523 : 1.77414   : 0.898409  >> 0.898409
62948 : 1.76491   : 0.80893  >> 0.80893
__________________
29843 : 1.88282   : 0.739734  >> 0.739734
48879 : 1.88247   : 0.615216  >> 0.615216
52321 : 1.88059   : 0.705013  >> 0.705013
98208 : 1.87851   : 0.701785  >> 0.701785
98837 : 1.85635   : 0.714655  >> 0.714655
80751 : 1.85047   : 0.670194  >> 0.670194
24301 : 1.83021   : 0.85286  >> 0.85286
1858 : 1.82393   : 0.739749  >> 0.739749
92523 : 1.81102   : 0.836643  >> 0.836643
62948 : 1.80005   : 0.730419  >> 0.730419
__________________
68238 : 2.01407   : 0.533872  >> 0.533872
67739 : 2.01327   : 0.479893  >> 0.479893
86840 : 2.01206   : 0.460479  >> 0.460479
29843 : 1.99586   : 0.576964  >> 0.576964
98837 : 1.9954   : 0.50081  >> 0.50081
80751 : 1.98146   : 0.489291  >> 0.489291
1858 : 1.97322   : 0.536009  >> 0.536009
24301 : 1.96228   : 0.635296  >> 0.635296
62948 : 1.94736   : 0.580897  >> 0.580897
92523 : 1.92652   : 0.649467  >> 0.649467
__________________
